output_type,file_name,path,row_count,column_count
sql_csv,admissions.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\admissions.csv,74,17.0
sql_csv,assets.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\assets.csv,494,16.0
sql_csv,attachments.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\attachments.csv,4,18.0
sql_csv,courses.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\courses.csv,109,15.0
sql_csv,course_track_map.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\course_track_map.csv,206,13.0
sql_csv,department_offices.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\department_offices.csv,41,8.0
sql_csv,events.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\events.csv,4,12.0
sql_csv,kaist_links.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\kaist_links.csv,7,4.0
sql_csv,kaist_profile.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\kaist_profile.csv,9,5.0
sql_csv,kaist_statistics.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\kaist_statistics.csv,12,6.0
sql_csv,people.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\people.csv,246,19.0
sql_csv,quality_report.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\quality_report.csv,14,3.0
sql_csv,rag_chunks.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\rag_chunks.csv,778,14.0
sql_csv,rag_documents.csv,E:\workspace\SKN28_3RD_2TEAM\data\processed\csv\rag_documents.csv,577,9.0
vector_json,vector_documents.json,E:\workspace\SKN28_3RD_2TEAM\data\processed\json\vector_documents.json,778,
vector_jsonl,vector_documents.jsonl,E:\workspace\SKN28_3RD_2TEAM\data\processed\json\vector_documents.jsonl,778,
